frame.time_epoch,frame.number
1276225267.278909000,151
1276225267.279027000,152
1276225267.280137000,153
1276225267.280213000,154
1276225267.280218000,155
1276225267.281367000,156
1276225267.281487000,157
1276225267.282600000,158
1276225267.282667000,159
1276225267.282671000,160
1276225267.283828000,161
1276225267.283949000,162
1276225267.285058000,163
1276225267.285135000,164
1276225267.285141000,165
1276225267.285884000,166
1276225267.286329000,167
1276225267.287561000,168
1276225267.287568000,169
1276225267.288385000,170
1276225267.289718000,171
1276225267.291012000,172
1276225267.291489000,173
1276225267.291748000,174
1276225267.292254000,175
1276225267.292648000,176
1276225267.292974000,177
1276225267.293661000,178
1276225267.293678000,179
1276225267.296449000,180
1276225267.296796000,181
1276225267.296953000,182
1276225267.301412000,183
1276225267.302725000,184
1276225267.342080000,185
1276225267.375876000,186
1276225267.376043000,187
1276225267.376413000,188
1276225267.376757000,189
1276225267.376845000,190
1276225267.376851000,191
1276225267.377084000,192
1276225267.377585000,193
1276225267.395470000,194
1276225267.395776000,195
1276225267.395941000,196
1276225267.396115000,197
1276225267.399682000,198
1276225267.399906000,199
1276225267.400243000,200
1276225267.400590000,201
1276225267.400740000,202
1276225267.401605000,203
1276225267.403041000,204
1276225267.404067000,205
1276225267.415868000,206
1276225267.416038000,207
1276225267.435862000,208
1276225267.436031000,209
1276225268.537082000,210
1276225268.633501000,211
1276225268.634014000,212
1276225268.634182000,213
1276225268.635763000,214
1276225268.638659000,215
1276225268.639966000,216
1276225268.693241000,217
1276225268.724973000,218
1276225268.725144000,219
1276225268.725384000,220
1276225268.725720000,221
1276225268.725808000,222
1276225268.725818000,223
1276225268.726053000,224
1276225268.726577000,225
1276225268.765587000,226
1276225268.765755000,227
1276225268.847975000,228
1276225268.942734000,229
1276225269.043875000,230
1276225269.044222000,231
1276225269.044374000,232
1276225269.044609000,233
1276225269.045031000,234
1276225269.045200000,235
1276225269.045525000,236
1276225269.045867000,237
1276225269.045905000,238
1276225269.046021000,239
1276225269.046056000,240
1276225269.046350000,241
1276225269.056432000,242
1276225269.056611000,243
1276225269.056908000,244
1276225269.057284000,245
1276225269.057447000,246
1276225269.057768000,247
1276225269.058276000,248
1276225269.058452000,249
1276225269.058699000,250
1276225269.058710000,251
1276225269.059021000,252
1276225269.059173000,253
1276225269.170357000,254
1276225269.170603000,255
1276225269.171205000,256
1276225269.171546000,257
1276225269.171697000,258
1276225269.178758000,259
1276225269.178967000,260
1276225269.179922000,261
1276225269.215502000,262
1276225269.215663000,263
1276225269.236723000,264
1276225269.236953000,265
1276225269.295689000,266
1276225269.296050000,267
1276225269.296202000,268
1276225269.296385000,269
1276225269.296642000,270
1276225269.311233000,271
1276225269.311773000,272
1276225269.312135000,273
1276225269.312696000,274
1276225269.313159000,275
1276225269.313443000,276
1276225269.314204000,277
1276225269.314651000,278
1276225269.314922000,279
1276225269.315829000,280
1276225269.316252000,281
1276225269.316483000,282
1276225269.317008000,283
1276225269.319564000,284
1276225269.320795000,285
1276225269.322025000,286
1276225269.322159000,287
1276225269.323256000,288
1276225269.323389000,289
1276225269.324485000,290
1276225269.324619000,291
1276225269.324626000,292
1276225269.325756000,293
1276225269.326294000,294
1276225269.326987000,295
1276225269.326994000,296
1276225269.327525000,297
1276225269.328759000,298
1276225269.328893000,299
1276225269.329988000,300
1276225269.330123000,301
1276225269.330129000,302
1276225269.331218000,303
1276225269.331350000,304
1276225269.332450000,305
1276225269.332581000,306
1276225269.332588000,307
1276225269.333680000,308
1276225269.333813000,309
1276225269.334910000,310
1276225269.335044000,311
1276225269.335051000,312
1276225269.335963000,313
1276225269.336177000,314
1276225269.337411000,315
1276225269.337418000,316
1276225269.338465000,317
1276225269.339786000,318
1276225269.340280000,319
1276225269.340718000,320
1276225269.340977000,321
1276225269.341573000,322
1276225269.342006000,323
1276225269.342248000,324
1276225269.342940000,325
1276225269.342946000,326
1276225269.613581000,327
1276225270.263864000,328
1276225270.264462000,329
1276225270.276629000,330
1276225270.277424000,331
1276225270.289071000,332
1276225270.290220000,333
1276225270.291072000,334
1276225270.292793000,335
1276225270.300444000,336
1276225270.300698000,337
1276225270.300925000,338
1276225270.306108000,339
1276225270.306709000,340
1276225270.311674000,341
1276225270.318737000,342
1276225270.319560000,343
1276225270.330768000,344
1276225270.331513000,345
1276225270.342280000,346
1276225270.343400000,347
1276225270.344244000,348
1276225270.345783000,349
1276225270.353423000,350
1276225270.353676000,351
1276225270.353895000,352
1276225270.364390000,353
1276225270.441740000,354
1276225270.493372000,355
1276225270.497862000,356
1276225270.499099000,357
1276225270.502610000,358
1276225270.506608000,359
1276225270.507849000,360
1276225270.511103000,361
1276225270.515851000,362
1276225270.517080000,363
1276225270.520599000,364
1276225270.524596000,365
1276225270.525828000,366
1276225270.529092000,367
1276225270.533591000,368
1276225270.534820000,369
1276225270.538337000,370
1276225270.542333000,371
1276225270.543566000,372
1276225270.546831000,373
1276225270.551328000,374
1276225270.552558000,375
1276225270.556326000,376
1276225270.560323000,377
1276225270.561557000,378
1276225270.564820000,379
1276225270.569069000,380
1276225270.570309000,381
1276225270.574064000,382
1276225270.578312000,383
1276225270.579528000,384
1276225270.582809000,385
1276225270.586061000,386
1276225270.587098000,387
1276225270.741157000,388
1276225270.741411000,389
1276225271.463979000,390
1276225271.464439000,391
1276225271.517323000,392
1276225271.517887000,393
1276225271.518237000,394
1276225271.518894000,395
1276225271.633349000,396
1276225271.633591000,397
1276225271.634043000,398
1276225271.755003000,399
1276225271.759223000,400
1276225271.760526000,401
1276225271.775113000,402
1276225271.775672000,403
1276225271.786114000,404
1276225271.786649000,405
1276225271.796631000,406
1276225271.797202000,407
1276225271.797611000,408
1276225271.799023000,409
1276225271.832720000,410
1276225271.832974000,411
1276225271.833275000,412
1276225271.879174000,413
1276225271.881907000,414
1276225272.010840000,415
1276225272.013633000,416
1276225272.092812000,417
1276225272.165295000,418
1276225272.166889000,419
1276225272.238508000,420
1276225272.311607000,421
1276225272.313083000,422
1276225272.313442000,423
1276225272.382916000,424
1276225272.383145000,425
1276225272.383932000,426
1276225272.384271000,427
1276225272.384432000,428
1276225272.391487000,429
1276225272.391668000,430
1276225272.392898000,431
1276225272.411161000,432
1276225272.411815000,433
1276225272.421693000,434
1276225272.422311000,435
1276225272.422664000,436
1276225272.423365000,437
1276225272.424846000,438
1276225272.425008000,439
1276225272.449942000,440
1276225272.450161000,441
1276225272.511607000,442
1276225272.511908000,443
1276225272.512059000,444
1276225272.512215000,445
1276225272.512478000,446
1276225272.523815000,447
1276225272.523994000,448
1276225272.524520000,449
1276225272.524886000,450
1276225272.525610000,451
1276225272.526076000,452
1276225272.526357000,453
1276225272.527385000,454
1276225272.527830000,455
1276225272.528101000,456
1276225272.529283000,457
1276225272.529704000,458
1276225272.529936000,459
1276225272.530497000,460
1276225272.532881000,461
1276225272.534111000,462
1276225272.535341000,463
1276225272.535475000,464
1276225272.535482000,465
1276225272.536571000,466
1276225272.536702000,467
1276225272.536771000,468
1276225272.537802000,469
1276225272.537933000,470
1276225272.537973000,471
1276225272.539141000,472
1276225272.539713000,473
1276225272.540372000,474
1276225272.540379000,475
1276225272.540943000,476
1276225272.542178000,477
1276225272.542309000,478
1276225272.543112000,479
1276225272.543443000,480
1276225272.543593000,481
1276225272.544679000,482
1276225272.545613000,483
1276225272.546018000,484
1276225272.547005000,485
1276225272.548348000,486
1276225272.548797000,487
1276225272.549056000,488
1276225272.549704000,489
1276225272.550129000,490
1276225272.550375000,491
1276225272.551145000,492
1276225272.551151000,493
1276225272.670181000,494
1276225272.670650000,495
1276225272.791597000,496
1276225272.795839000,497
1276225272.797229000,498
1276225272.916270000,499
1276225272.916276000,500
1276225272.917660000,501
1276225272.919160000,502
1276225273.002728000,503
1276225273.061723000,504
1276225273.064477000,505
1276225273.196838000,506
1276225273.201330000,507
1276225273.202621000,508
1276225273.205829000,509
1276225273.209826000,510
1276225273.211138000,511
1276225273.214573000,512
1276225273.289424000,513
1276225273.322258000,514
1276225273.326502000,515
1276225273.327866000,516
1276225273.331248000,517
1276225273.335247000,518
1276225273.336622000,519
1276225273.339993000,520
1276225273.343994000,521
1276225273.344000000,522
1276225273.345376000,523
1276225273.407705000,524
1276225273.409107000,525
1276225273.411948000,526
1276225273.446429000,527
1276225273.447761000,528
1276225273.451173000,529
1276225273.455170000,530
1276225273.456496000,531
1276225273.460416000,532
1276225273.463665000,533
1276225273.465024000,534
1276225273.468162000,535
1276225273.472409000,536
1276225273.473780000,537
1276225273.477156000,538
1276225273.481153000,539
1276225273.482534000,540
1276225273.527132000,541
1276225273.531622000,542
1276225273.532885000,543
1276225273.566104000,544
1276225273.570597000,545
1276225273.571797000,546
1276225273.575344000,547
1276225273.579842000,548
1276225273.581026000,549
1276225273.584089000,550
1276225273.588336000,551
1276225273.589537000,552
1276225273.593084000,553
1276225273.597081000,554
1276225273.598291000,555
1276225273.601326000,556
1276225273.605576000,557
1276225273.606803000,558
1276225273.651049000,559
1276225273.655296000,560
1276225273.656672000,561
1276225273.660322000,562
1276225273.691025000,563
1276225273.695769000,564
1276225273.697030000,565
1276225273.700515000,566
1276225273.704014000,567
1276225273.705293000,568
1276225273.709009000,569
1276225273.713008000,570
1276225273.714276000,571
1276225273.717504000,572
1276225273.721502000,573
1276225273.722817000,574
1276225273.723305000,575
1276225273.729898000,576
1276225273.730145000,577
1276225273.730824000,578
1276225273.731169000,579
1276225273.731320000,580
1276225273.738400000,581
1276225273.738598000,582
1276225273.820510000,583
1276225273.825008000,584
1276225273.826257000,585
1276225273.830005000,586
1276225273.834002000,587
1276225273.835233000,588
1276225273.838498000,589
1276225273.843004000,590
1276225273.844216000,591
1276225273.847992000,592
1276225273.851925000,593
1276225273.866984000,594
1276225273.868227000,595
1276225273.871978000,596
1276225273.876724000,597
1276225273.877943000,598
1276225273.879067000,599
1276225273.879338000,600
1276225273.879792000,601
1276225273.881221000,602
1276225273.881228000,603
1276225273.885468000,604
1276225273.886705000,605
1276225273.890466000,606
1276225273.894464000,607
1276225273.895681000,608
1276225273.910207000,609
1276225273.914951000,610
1276225273.916190000,611
1276225273.918948000,612
1276225273.923446000,613
1276225273.924678000,614
1276225273.927941000,615
1276225273.932689000,616
1276225273.933909000,617
1276225273.937435000,618
1276225273.941434000,619
1276225273.942667000,620
1276225273.957677000,621
1276225273.962171000,622
1276225273.963407000,623
1276225273.966917000,624
1276225273.971166000,625
1276225273.972406000,626
1276225273.976163000,627
1276225273.980160000,628
1276225273.981377000,629
1276225273.984907000,630
1276225273.988904000,631
1276225273.990118000,632
1276225273.993901000,633
1276225274.004869000,634
1276225274.006092000,635
1276225274.009870000,636
1276225274.013607000,637
1276225274.014837000,638
1276225274.018374000,639
1276225274.022602000,640
1276225274.023834000,641
1276225274.027595000,642
1276225274.031600000,643
1276225274.032799000,644
1276225274.035714000,645
1276225274.036348000,646
1276225274.036353000,647
1276225274.036573000,648
1276225274.052617000,649
1276225274.053849000,650
1276225274.057106000,651
1276225274.061098000,652
1276225274.062334000,653
1276225274.066095000,654
1276225274.070349000,655
1276225274.071576000,656
1276225274.074843000,657
1276225274.079094000,658
1276225274.080317000,659
1276225274.083840000,660
1276225274.094084000,661
1276225274.095339000,662
1276225274.098829000,663
1276225274.103080000,664
1276225274.103469000,665
1276225274.104346000,666
1276225274.124583000,667
1276225274.125162000,668
1276225274.135160000,669
1276225274.135837000,670
1276225274.136311000,671
1276225274.137934000,672
1276225274.154215000,673
1276225274.159797000,674
1276225274.160589000,675
1276225274.161052000,676
1276225274.161058000,677
1276225274.161490000,678
1276225274.162091000,679
1276225274.162554000,680
1276225274.162838000,681
1276225274.163749000,682
1276225274.164298000,683
1276225274.164304000,684
1276225274.164483000,685
1276225274.165714000,686
1276225274.166154000,687
1276225274.166387000,688
1276225274.166925000,689
1276225274.167381000,690
1276225274.167652000,691
1276225274.168191000,692
1276225274.168634000,693
1276225274.168890000,694
1276225274.176536000,695
1276225274.177769000,696
1276225274.181032000,697
1276225274.185280000,698
1276225274.186493000,699
1276225274.192275000,700
1276225274.196774000,701
1276225274.198019000,702
1276225274.201019000,703
1276225274.205517000,704
1276225274.206732000,705
1276225274.210512000,706
1276225274.214511000,707
1276225274.215727000,708
1276225274.219008000,709
1276225274.223503000,710
1276225274.224737000,711
1276225274.228501000,712
1276225274.229347000,713
1276225274.232249000,714
1276225274.233480000,715
1276225274.236747000,716
1276225274.241244000,717
1276225274.242462000,718
1276225274.246241000,719
1276225274.250238000,720
1276225274.251458000,721
1276225274.255236000,722
1276225274.258986000,723
1276225274.258993000,724
1276225274.260217000,725
1276225274.260305000,726
1276225274.260671000,727
1276225274.263981000,728
1276225274.268227000,729
1276225274.269458000,730
1276225274.272723000,731
1276225274.277222000,732
1276225274.278452000,733
1276225274.281717000,734
1276225274.285711000,735
1276225274.286212000,736
1276225274.286219000,737
1276225274.286361000,738
1276225274.287194000,739
1276225274.287200000,740
1276225274.287442000,741
1276225274.291211000,742
1276225274.294960000,743
1276225274.296196000,744
1276225274.299457000,745
1276225274.303956000,746
1276225274.305185000,747
1276225274.309201000,748
1276225274.312951000,749
1276225274.314178000,750
1276225274.317445000,751
1276225274.321944000,752
1276225274.323159000,753
1276225274.326439000,754
1276225274.330687000,755
1276225274.331904000,756
1276225274.335684000,757
1276225274.339931000,758
1276225274.341147000,759
1276225274.344679000,760
1276225274.348676000,761
1276225274.349908000,762
1276225274.353172000,763
1276225274.357672000,764
1276225274.358901000,765
1276225274.362417000,766
1276225274.366415000,767
1276225274.367632000,768
1276225274.370912000,769
1276225274.375410000,770
1276225274.376626000,771
1276225274.380405000,772
1276225274.384157000,773
1276225274.385410000,774
1276225274.388652000,775
1276225274.389305000,776
1276225274.389311000,777
1276225274.390418000,778
1276225274.390596000,779
1276225274.392124000,780
1276225274.392613000,781
1276225274.395398000,782
1276225274.396662000,783
1276225274.398117000,784
1276225274.400144000,785
1276225274.404143000,786
1276225274.405355000,787
1276225274.408887000,788
1276225274.413136000,789
1276225274.414392000,790
1276225274.418132000,791
1276225274.422130000,792
1276225274.423347000,793
1276225274.425931000,794
1276225274.426873000,795
1276225274.430873000,796
1276225274.432105000,797
1276225274.435871000,798
1276225274.439869000,799
1276225274.441083000,800
1276225274.444616000,801
1276225274.448864000,802
1276225274.450103000,803
1276225274.453859000,804
1276225274.457857000,805
1276225274.459073000,806
1276225274.462353000,807
1276225274.466603000,808
1276225274.467821000,809
1276225274.471847000,810
1276225274.475850000,811
1276225274.475907000,812
1276225274.476830000,813
1276225274.477080000,814
1276225274.477301000,815
1276225274.478783000,816
1276225274.481093000,817
1276225274.485340000,818
1276225274.486577000,819
1276225274.490338000,820
1276225274.494586000,821
1276225274.495821000,822
1276225274.499082000,823
1276225274.503079000,824
1276225274.504304000,825
1276225274.508074000,826
1276225274.512324000,827
1276225274.513542000,828
1276225274.516819000,829
1276225274.521067000,830
1276225274.522300000,831
1276225274.526067000,832
1276225274.526074000,833
1276225274.530560000,834
1276225274.531796000,835
1276225274.534809000,836
1276225274.539057000,837
1276225274.540295000,838
1276225274.543803000,839
1276225274.548300000,840
1276225274.549522000,841
1276225274.552798000,842
1276225274.552804000,843
1276225274.554142000,844
1276225274.554569000,845
1276225274.557543000,846
1276225274.558780000,847
1276225274.562541000,848
1276225274.566539000,849
1276225274.567771000,850
1276225274.570785000,851
1276225274.575034000,852
1276225274.576265000,853
1276225274.579779000,854
1276225274.584277000,855
1276225274.585496000,856
1276225274.588773000,857
1276225274.593271000,858
1276225274.594491000,859
1276225274.598268000,860
1276225274.602015000,861
1276225274.603270000,862
1276225274.606513000,863
1276225274.611011000,864
1276225274.612251000,865
1276225274.615976000,866
1276225274.616348000,867
1276225274.616354000,868
1276225274.617694000,869
1276225274.617994000,870
1276225274.618719000,871
1276225274.652679000,872
1276225274.655527000,873
1276225274.664919000,874
1276225274.678719000,875
1276225274.681033000,876
1276225274.681927000,877
1276225274.682672000,878
1276225274.699709000,879
1276225274.703844000,880
1276225274.705000000,881
1276225274.705667000,882
1276225274.716887000,883
1276225274.717158000,884
1276225274.717513000,885
1276225274.728687000,886
1276225274.733104000,887
1276225274.734278000,888
1276225274.735175000,889
1276225274.753329000,890
1276225274.754916000,891
1276225274.785701000,892
1276225274.785902000,893
1276225274.786064000,894
1276225274.786238000,895
1276225274.789856000,896
1276225274.790062000,897
1276225274.790396000,898
1276225274.790745000,899
1276225274.790902000,900
1276225274.791780000,901
1276225274.793194000,902
1276225274.794208000,903
1276225274.803583000,904
1276225274.821529000,905
1276225274.823967000,906
1276225274.824534000,907
1276225274.833703000,908
1276225274.833872000,909
1276225274.834400000,910
1276225274.834949000,911
1276225274.844647000,912
1276225274.845290000,913
1276225274.845775000,914
1276225274.847263000,915
1276225274.880795000,916
1276225274.881066000,917
1276225274.881315000,918
1276225274.884912000,919
1276225274.902829000,920
1276225274.907073000,921
1276225274.908292000,922
1276225274.912073000,923
1276225274.912079000,924
1276225274.913363000,925
1276225274.916316000,926
1276225274.920813000,927
1276225274.922033000,928
1276225274.925283000,929
1276225274.925290000,930
1276225274.926975000,931
1276225274.928477000,932
1276225274.932556000,933
1276225274.933808000,934
1276225274.937054000,935
1276225274.941551000,936
1276225274.942768000,937
1276225274.946548000,938
1276225274.950545000,939
1276225274.951759000,940
1276225274.955042000,941
1276225274.959291000,942
1276225274.960519000,943
1276225274.964286000,944
1276225274.968284000,945
1276225274.969501000,946
1276225274.973281000,947
1276225274.977277000,948
1276225274.978498000,949
1276225274.982024000,950
1276225274.986273000,951
1276225274.987502000,952
1276225274.990770000,953
1276225274.995018000,954
1276225274.996248000,955
1276225274.996423000,956
1276225274.999060000,957
1276225274.999513000,958
1276225275.002252000,959
1276225275.006757000,960
1276225275.007985000,961
1276225275.011252000,962
1276225275.015504000,963
1276225275.016725000,964
1276225275.020453000,965
1276225275.023043000,966
1276225275.024497000,967
1276225275.025734000,968
1276225275.029001000,969
1276225275.033235000,970
1276225275.034470000,971
1276225275.038001000,972
1276225275.041304000,973
1276225275.042148000,974
1276225275.042642000,975
1276225275.042750000,976
1276225275.043873000,977
1276225275.045261000,978
1276225275.047730000,979
1276225275.052229000,980
1276225275.053433000,981
1276225275.057199000,982
1276225275.060967000,983
1276225275.062217000,984
1276225275.065463000,985
1276225275.068700000,986
1276225275.070242000,987
1276225275.074213000,988
1276225275.075442000,989
1276225275.077962000,990
1276225275.082457000,991
1276225275.083685000,992
1276225275.086948000,993
1276225275.091451000,994
1276225275.092681000,995
1276225275.095951000,996
1276225275.100444000,997
1276225275.101678000,998
1276225275.105443000,999
1276225275.109187000,1000
1276225275.110416000,1001
1276225275.114189000,1002
1276225275.114196000,1003
1276225275.115538000,1004
1276225275.115841000,1005
1276225275.118430000,1006
1276225275.119667000,1007
1276225275.123427000,1008
1276225275.127429000,1009
1276225275.128657000,1010
1276225275.131928000,1011
1276225275.136425000,1012
1276225275.137680000,1013
1276225275.141416000,1014
1276225275.145172000,1015
1276225275.146410000,1016
1276225275.149668000,1017
1276225275.154416000,1018
1276225275.155650000,1019
1276225275.159163000,1020
1276225275.163161000,1021
1276225275.164400000,1022
1276225275.167657000,1023
1276225275.172155000,1024
1276225275.173385000,1025
1276225275.176901000,1026
1276225275.180899000,1027
1276225275.182137000,1028
1276225275.185399000,1029
1276225275.190146000,1030
1276225275.190152000,1031
1276225275.191379000,1032
1276225275.194937000,1033
1276225275.195147000,1034
1276225275.198770000,1035
1276225275.199918000,1036
1276225275.202078000,1037
1276225275.202492000,1038
1276225275.203136000,1039
1276225275.207883000,1040
1276225275.209109000,1041
1276225275.212630000,1042
1276225275.216626000,1043
1276225275.217860000,1044
1276225275.221124000,1045
1276225275.225620000,1046
1276225275.226881000,1047
1276225275.230617000,1048
1276225275.234366000,1049
1276225275.235596000,1050
1276225275.238862000,1051
1276225275.243355000,1052
1276225275.244593000,1053
1276225275.248357000,1054
1276225275.252353000,1055
1276225275.253585000,1056
1276225275.254742000,1057
1276225275.256170000,1058
1276225275.257900000,1059
1276225275.258050000,1060
1276225275.258769000,1061
1276225275.261251000,1062
1276225275.270459000,1063
1276225275.271080000,1064
1276225275.271561000,1065
1276225275.272047000,1066
1276225275.273120000,1067
1276225275.274646000,1068
1276225275.275942000,1069
1276225275.287390000,1070
1276225275.288478000,1071
1276225275.299881000,1072
1276225275.301049000,1073
1276225275.306767000,1074
1276225275.307041000,1075
1276225275.307263000,1076
1276225275.312123000,1077
1276225275.313202000,1078
1276225275.340492000,1079
1276225275.348973000,1080
1276225275.350768000,1081
1276225275.362728000,1082
1276225275.367488000,1083
1276225275.388208000,1084
1276225275.392945000,1085
1276225275.394232000,1086
1276225275.397690000,1087
1276225275.401188000,1088
1276225275.402493000,1089
1276225275.406186000,1090
1276225275.410183000,1091
1276225275.411477000,1092
1276225275.414931000,1093
1276225275.418428000,1094
1276225275.419759000,1095
1276225275.423424000,1096
1276225275.427422000,1097
1276225275.428741000,1098
1276225275.431921000,1099
1276225275.435918000,1100
1276225275.437279000,1101
1276225275.440987000,1102
1276225275.440993000,1103
1276225275.442290000,1104
1276225275.442998000,1105
1276225275.479713000,1106
1276225275.483959000,1107
1276225275.485196000,1108
1276225275.488708000,1109
1276225275.488715000,1110
1276225275.489998000,1111
1276225275.493701000,1112
1276225275.497698000,1113
1276225275.498931000,1114
1276225275.502664000,1115
1276225275.506693000,1116
1276225275.511189000,1117
1276225275.511942000,1118
1276225275.512421000,1119
1276225275.516673000,1120
1276225275.517677000,1121
1276225275.518973000,1122
1276225275.522683000,1123
1276225275.526431000,1124
1276225275.527650000,1125
1276225275.531427000,1126
1276225275.535401000,1127
1276225275.536606000,1128
1276225275.540412000,1129
1276225275.544170000,1130
1276225275.545404000,1131
1276225275.549166000,1132
1276225275.553164000,1133
1276225275.554399000,1134
1276225275.557660000,1135
1276225275.561587000,1136
1276225275.566335000,1137
1276225275.567621000,1138
1276225275.571081000,1139
1276225275.574833000,1140
1276225275.574839000,1141
1276225275.576130000,1142
1276225275.579579000,1143
1276225275.583823000,1144
1276225275.585127000,1145
1276225275.588891000,1146
1276225275.590113000,1147
1276225275.592888000,1148
1276225275.597065000,1149
1276225275.601312000,1150
1276225275.602635000,1151
1276225275.606380000,1152
1276225275.607603000,1153
1276225275.610377000,1154
1276225275.614875000,1155
1276225275.616088000,1156
1276225275.619551000,1157
1276225275.623298000,1158
1276225275.624523000,1159
1276225275.628369000,1160
1276225275.632613000,1161
1276225275.633829000,1162
1276225275.636539000,1163
1276225275.641037000,1164
1276225275.642285000,1165
1276225275.645786000,1166
1276225275.647689000,1167
1276225275.649852000,1168
1276225275.654350000,1169
1276225275.655569000,1170
1276225275.659346000,1171
1276225275.663093000,1172
1276225275.664314000,1173
1276225275.667842000,1174
1276225275.672089000,1175
1276225275.673304000,1176
1276225275.677088000,1177
1276225275.681332000,1178
1276225275.682571000,1179
1276225275.685830000,1180
1276225275.689827000,1181
1276225275.691057000,1182
1276225275.694825000,1183
1276225275.699071000,1184
1276225275.700305000,1185
1276225275.703569000,1186
1276225275.707816000,1187
1276225275.709049000,1188
1276225275.712815000,1189
1276225275.717060000,1190
1276225275.718294000,1191
1276225275.720986000,1192
1276225275.725236000,1193
1276225275.726422000,1194
1276225275.729802000,1195
1276225275.734549000,1196
1276225275.735789000,1197
1276225275.739044000,1198
1276225275.739052000,1199
1276225275.740343000,1200
1276225275.741159000,1201
1276225275.743722000,1202
1276225275.747469000,1203
1276225275.748792000,1204
1276225275.752287000,1205
1276225275.756785000,1206
1276225275.758007000,1207
1276225275.760710000,1208
1276225275.765209000,1209
1276225275.766543000,1210
1276225275.770026000,1211
1276225275.774275000,1212
1276225275.775505000,1213
1276225275.779021000,1214
1276225275.783270000,1215
1276225275.784499000,1216
1276225275.787943000,1217
1276225275.791691000,1218
1276225275.793037000,1219
1276225275.796761000,1220
1276225275.800756000,1221
1276225275.801973000,1222
1276225275.805256000,1223
1276225275.809751000,1224
1276225275.810969000,1225
1276225275.813678000,1226
1276225275.818424000,1227
1276225275.819787000,1228
1276225275.822974000,1229
1276225275.827242000,1230
1276225275.828457000,1231
1276225275.831916000,1232
1276225275.835914000,1233
1276225275.837309000,1234
1276225275.840482000,1235
1276225275.844980000,1236
1276225275.846212000,1237
1276225275.849726000,1238
1276225275.853721000,1239
1276225275.854991000,1240
1276225275.858221000,1241
1276225275.862721000,1242
1276225275.862728000,1243
1276225275.863732000,1244
1276225275.863956000,1245
1276225275.864606000,1246
1276225275.865346000,1247
